HS Section,HS Chapter Code,HS Chapter,2015 / 01,2015 / 02,2015 / 03,2015 / 04,2015 / 05,2015 / 06,2015 / 07,2015 / 08,2015 / 09,2015 / 10,2015 / 11,2015 / 12,2016 / 01,2016 / 02,2016 / 03,2016 / 04,2016 / 05,2016 / 06,2016 / 07,2016 / 08,2016 / 09,2016 / 10,2016 / 11,2016 / 12,2017 / 01,2017 / 02,2017 / 03,2017 / 04,2017 / 05,2017 / 06,2017 / 07,2017 / 08,2017 / 09,2017 / 10,2017 / 11,2017 / 12,2018 / 01,2018 / 02,2018 / 03,2018 / 04,2018 / 05,2018 / 06,2018 / 07,2018 / 08,2018 / 09,2018 / 10,2018 / 11,2018 / 12,2019 / 01,2019 / 02,2019 / 03,2019 / 04,2019 / 05,2019 / 06,2019 / 07,2019 / 08,2019 / 09,2019 / 10,2019 / 11,2019 / 12,2020 / 01,2020 / 02,2020 / 03,2020 / 04,2020 / 05,2020 / 06,2020 / 07,2020 / 08,2020 / 09,2020 / 10,2020 / 11,2020 / 12,2021 / 01,2021 / 02,2021 / 03,2021 / 04,2021 / 05,2021 / 06,2021 / 07,2021 / 08,2021 / 09,2021 / 10,2021 / 11,2021 / 12,2022 / 01,2022 / 02,2022 / 03,2022 / 04,2022 / 05,2022 / 06,2022 / 07
Live Animals; Animal Products,1,LIVE ANIMALS,58.38368,110.536371,47.745958,22.559207,21.669783,11.120486,8.809636,13.732734,33.084074,26.810954,22.834689,17.862622,13.47487,15.960853,19.49126,11.884776,14.104673,11.747656,10.497884,28.891499,31.003542,8.702964,69.527059,54.565059,25.552529,44.067811,19.463125,22.067434,29.47963,2.776365,19.706577,24.435011,34.986783,73.709253,50.440965,59.482268,94.885574,55.582808,10.780977,8.87834,7.772568,7.94431,11.205744,22.503639,22.63157,20.313558,20.291679,48.627783,28.246315,18.46529,40.363842,19.263494,14.061787,8.59209,16.004062,16.311606,24.033248,16.777294,13.852977,21.073538,40.118649,26.184678,13.998191,34.777709,20.813146,22.356709,35.829564,21.275526,34.384653,26.863423,18.670283,17.829552,29.116557,19.376246,22.04021,19.328236,15.080109,21.246791,22.230179,25.840816,32.848086,30.822109,25.023906,44.478069,34.370444,24.639413,25.078433,13.617995,12.219713,18.310563,15.772806
Live Animals; Animal Products,2,MEAT AND EDIBLE MEAT OFFAL,40.673556,42.163383,44.269077,35.477638,38.972268,49.343233,42.473643,44.209432,49.643083,48.343447,60.032102,56.546489,53.375409,53.031261,66.63554,52.519987,52.212066,69.140649,39.799862,49.244583,40.510842,59.829412,56.739954,77.622117,65.274873,48.011298,59.581815,53.084376,73.339706,47.567258,54.226151,43.882533,35.60844,61.57395,55.286593,42.183632,34.485121,37.103072,43.216813,40.035371,49.060484,35.399233,40.458394,29.6641,38.266771,46.533605,48.064799,49.839512,44.652779,58.451543,64.991961,62.379213,71.71621,44.583275,50.190601,42.557436,42.54044,50.933048,62.548599,56.926548,78.502807,44.720504,55.769156,48.706023,40.160369,39.208683,38.279227,39.314446,40.158761,39.06057,39.256699,41.697606,43.666546,40.663708,55.369588,54.583992,45.994521,42.974183,40.775009,46.947458,45.040266,45.085679,45.008401,50.402526,52.972264,49.029797,53.606813,58.965594,49.930036,53.809655,49.415545
Live Animals; Animal Products,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",49.414709,38.360411,22.759486,11.243488,12.154283,10.146856,4.455506,13.307408,19.478394,41.411729,62.459791,72.18766,38.586454,33.056095,17.379251,22.44925,25.422129,23.350013,7.76992,46.443831,46.773526,78.981099,108.012633,40.545649,23.360952,50.191065,22.549701,23.025393,14.2076,40.263284,150.977729,168.034856,92.592,49.339159,171.461249,192.253846,45.787672,14.167006,28.520311,25.496669,52.130302,168.443069,67.137901,28.321805,80.818371,58.953841,55.978133,497.738251,55.210291,17.834729,16.553465,32.306834,11.855574,12.103088,82.911815,61.427935,29.560587,32.251479,150.034844,50.079112,28.400372,17.380115,19.735542,17.184269,14.73263,17.074685,21.152787,19.109034,35.385038,49.265807,59.331984,20.775597,23.703035,55.962077,39.606124,29.202255,20.089849,25.231324,32.166168,25.957218,53.810605,83.471222,106.730256,24.056752,26.77933,76.527176,22.195748,68.873538,18.01289,57.223222,61.95362
Live Animals; Animal Products,4,DAIRY PRODUCE; BIRDS' EGGS; HONEY; OTHER EDIBLE PRODUCE,367.620282,356.054733,373.552854,387.403016,414.184049,402.486893,354.006668,360.029252,355.379127,393.214258,371.672283,377.562001,370.3087,348.740495,403.284915,404.647396,436.058524,397.662161,330.783043,369.50108,339.80173,413.492029,393.164185,373.05953,367.191808,331.791553,417.258978,402.227245,436.42453,322.636069,302.252764,335.035182,296.328028,354.131998,332.837969,366.798573,342.299281,324.206351,359.221217,407.586754,426.95266,308.536942,300.417837,285.513554,334.719548,363.275168,316.725629,340.303298,340.957035,322.044793,376.103763,432.004165,431.753044,296.388825,337.142751,311.002568,320.5805,404.964993,325.83026,345.949465,360.03973,331.467425,405.068684,387.250672,320.359826,344.300105,377.321478,326.224838,345.961277,347.086329,323.552448,321.716742,317.062079,320.235401,361.682817,376.835418,301.951143,293.600634,286.800189,309.373686,338.109958,354.01678,326.994355,397.045211,336.948493,312.04175,373.069469,362.708841,324.493302,311.909899,283.121321
Live Animals; Animal Products,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE CLASSIFIED",0.317878,0.28572,0.121905,0.066288,0.131172,0.206475,0.059493,0.100887,0.058815,0.0598,0.259444,0.104212,0.016846,0.112751,0.153961,0.060637,0.106431,0.000101,0.014625,0.010125,0.118207,0.067804,0.16885,1.110644,3.788729,0.002775,0.082688,0.045615,0.081064,0.027,0,0.009006,0.019845,0,0.028125,0.022272,0.00019,0.030332,0.007461,0.012126,0.020739,0.04635,0.090154,0.024412,0.03077,0.042,0.403674,0.006975,0.418341,0.00008,0.01471,0.015548,0.00675,0,0.044145,0.007339,0.0001,0.059006,0.297638,0.0008,0.0005,0.655875,0.020792,0.000111,0,0.034403,0,0.00105,0,0.076548,0.04662,0.025221,0.430182,0,1.89485,0.237659,0.053846,0.065903,0,1.418528,0.1197,0.0072,0.215712,0.000094,0.00003,0.308225,0.056759,0.053818,0.257763,0.202242,0.004106
Plant Products,6,LIVE TREES AND PLANTS; BULBS AND THE LIKE; ETC.,0.911669,0.274224,1.633249,1.094519,0.217395,0.253864,0.022682,0.473492,0.200625,0.476122,0.00069,0.466858,0.522,0.3382,0.864541,0.75539,0.578523,0.415677,0.224121,0.516699,0.0307,0.194844,0.305188,0.761451,1.502985,0.328821,1.854788,0.481796,0.445624,0.004322,0.147088,0.787746,0.092983,0.25839,0.79182,0.790401,0.20765,0.360543,1.107463,0.465908,0.595451,0.118753,0.34755,0.43118,0.264963,1.75545,0.95261,1.186902,2.084025,2.75368,3.236416,3.439582,5.835643,4.399648,6.091363,1.013369,0.04855,1.868075,0.962942,6.786326,0.507162,1.804602,1.045004,0.05715,0.0225,0.0207,0.0249,0.0032,0.078925,5.87214,0.646569,17.522926,10.777096,4.478797,3.778872,1.147603,0.687935,6.496535,0.134415,0.30252,2.37634,2.780735,3.60812,5.249063,4.947539,2.658073,1.022801,1.465022,0.450432,4.290805,0.304574
Plant Products,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS,19.103542,18.134138,18.977987,18.891019,21.809293,20.983578,22.63567,22.91358,21.885147,23.508523,28.917655,35.475469,22.445506,18.049948,18.616327,17.279436,20.603757,21.160279,22.002427,25.653752,20.814488,23.866664,20.939207,26.389126,26.916016,22.311036,24.320728,20.148662,25.120484,19.379152,16.186441,17.972126,17.478528,17.466817,17.403881,15.798757,9.788963,8.732584,9.785574,9.92906,9.174975,10.963478,14.253719,13.65569,15.935357,11.764272,13.038705,14.597913,15.470929,13.481986,13.27015,12.89707,12.219314,10.017045,13.929011,11.500208,10.962679,10.61995,9.711703,10.067857,9.040537,10.388557,12.865219,11.588424,6.909274,10.393967,11.492103,11.538683,11.791056,9.709374,9.291161,13.325851,15.602832,11.206739,13.586125,7.553994,9.780959,10.586713,15.85908,11.811333,10.106172,10.284683,6.962725,6.79794,9.057706,9.305478,11.347047,7.695924,8.09166,9.298608,8.896648
Plant Products,8,EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUITS,53.710337,60.375356,70.730505,81.414047,110.939724,82.101498,36.926009,44.488257,49.516901,64.031547,65.997341,61.140103,65.562678,64.817562,80.250154,109.388626,131.188088,69.523623,28.892461,34.454203,45.861347,79.975967,70.927006,67.662145,74.174426,70.636518,127.739034,135.073534,156.24084,39.945953,37.308286,39.081998,53.859215,79.869253,83.362668,96.112976,67.484091,74.631881,126.581916,158.985521,113.049599,30.413672,31.789895,38.270699,76.642272,97.540104,97.0227,91.076239,88.467218,91.360496,153.441522,192.453946,81.831543,26.593442,33.828271,27.075645,82.087963,105.474221,101.643717,105.858993,106.85756,142.576637,223.180088,135.228442,53.461139,36.364969,43.900668,48.719438,73.361189,83.830261,113.514447,109.356164,133.318793,185.192008,254.267734,122.269209,43.848111,50.270966,40.284116,65.143705,89.061932,123.806407,126.565906,157.12076,174.553216,180.468418,249.180731,81.277285,40.320097,46.091005,34.334529
Plant Products,9,"COFFEE, TEA, MATE AND SPICES",18.418165,18.057861,24.577387,18.671116,20.192732,17.858782,14.40234,22.365624,13.380003,11.961451,24.40988,15.749583,22.721568,13.013847,17.795162,25.492796,20.385569,10.174897,2.596757,16.353453,4.755224,19.093145,11.174196,11.508359,16.213538,7.670509,12.860243,9.955554,13.52886,6.243967,12.494965,7.67843,11.093318,14.084156,13.370747,11.605749,11.486348,10.087612,18.905901,17.984547,12.189137,7.994281,18.051561,18.124187,8.686302,9.661316,14.233332,11.440636,14.864524,12.793277,17.767726,14.43075,16.199251,11.624981,17.535919,24.22706,19.763713,11.043471,8.991478,12.746819,16.61335,12.860009,18.96731,14.221944,10.012351,26.196812,25.089445,13.662437,19.01682,10.560688,19.441039,17.958768,24.478016,16.043352,24.243125,15.831478,9.723951,12.087301,13.984432,9.837039,17.732148,16.41894,12.534499,24.029273,22.504506,18.496343,24.683858,13.055875,7.725134,23.561955,17.804073
Plant Products,10,CEREALS,8.218608,2.268739,2.944336,3.181426,3.399969,3.63042,2.005127,2.975567,2.839998,2.527764,3.553915,6.074697,4.163722,3.277532,3.040221,3.019803,3.897049,6.599666,3.322941,4.183116,2.561485,3.020122,3.117694,2.430259,8.014079,3.784079,6.909847,5.592454,8.612176,6.178993,2.542208,2.899753,2.954159,4.768802,6.333737,6.75859,3.567807,5.012891,4.860529,7.421773,7.974724,2.215688,2.052664,1.718375,1.658603,3.170611,2.918012,2.594373,1.212327,2.377421,2.960425,7.36038,3.839392,4.183781,2.072352,1.204902,1.034422,1.50665,1.491694,1.242821,1.288389,1.704049,3.688521,4.10187,4.141729,0.702332,1.43655,1.065125,0.755793,0.609224,1.129847,0.740512,1.170314,1.593602,1.734948,1.133898,1.064859,0.884188,1.31925,0.602984,0.872585,1.250733,1.552588,1.263579,1.779517,1.202192,1.571894,1.706263,1.302819,2.466537,1.293966
