Periodicity;Date;Year;Quarter;Economic Activity;GDP in Million Saudi Riyal
Quarterly;2010-03;2010;Q1;Mining & Quarrying : Other Mining & Quarrying;2188.76
Quarterly;2010-03;2010;Q1;Construction;22579.99
Quarterly;2010-03;2010;Q1;Community, Social & Personal Services;9115.01
Quarterly;2010-06;2010;Q2;Mining & Quarrying;199180.95
Quarterly;2010-06;2010;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;197120.82
Quarterly;2010-06;2010;Q2;Manufacturing;52528.27
Quarterly;2010-06;2010;Q2;Wholesale & Retail Trade, Restaurants & hotels;38246.96
Quarterly;2010-09;2010;Q3;Government Services;60770.51
Quarterly;2010-09;2010;Q3;Gross Value Added;475768.12
Quarterly;2010-12;2010;Q4;Manufacturing;54167.95
Quarterly;2010-12;2010;Q4;Government Services;89890.99
Quarterly;2011-03;2011;Q1;Mining & Quarrying;271254.41
Quarterly;2011-03;2011;Q1;Electricity, Gas and Water;3380.29
Quarterly;2011-03;2011;Q1;Finance, Insurance, Real Estate & Business Services;50713.7
Quarterly;2011-03;2011;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;25145.26
Quarterly;2011-03;2011;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;25568.43
Quarterly;2011-03;2011;Q1;Government Services;76263.45
Quarterly;2011-06;2011;Q2;Mining & Quarrying;305478.89
Quarterly;2011-06;2011;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;303263.5
Quarterly;2011-06;2011;Q2;Manufacturing;62596.61
Quarterly;2011-09;2011;Q3;Agriculture, Forestry & Fishing;13676.84
Quarterly;2011-09;2011;Q3;Mining & Quarrying;313372.98
Quarterly;2011-09;2011;Q3;Manufacturing;63951.31
Quarterly;2011-09;2011;Q3;Electricity, Gas and Water;11438.85
Quarterly;2011-09;2011;Q3;Transport, Storage & Communication;27319.83
Quarterly;2011-09;2011;Q3;Gross Domestic Product;635905.72
Quarterly;2011-12;2011;Q4;Mining & Quarrying;325410.95
Quarterly;2011-12;2011;Q4;Manufacturing : Manufacturing excluding petroleum refining;45959.63
Quarterly;2011-12;2011;Q4;Construction;25938.65
Quarterly;2011-12;2011;Q4;Community, Social & Personal Services;10579.17
Quarterly;2012-03;2012;Q1;Agriculture, Forestry & Fishing;15555.21
Quarterly;2012-03;2012;Q1;Gross Value Added;711609.61
Quarterly;2012-06;2012;Q2;Agriculture, Forestry & Fishing;14979.09
Quarterly;2012-06;2012;Q2;Mining & Quarrying;331015.82
Quarterly;2012-06;2012;Q2;Manufacturing : Manufacturing excluding petroleum refining;49839.63
Quarterly;2012-09;2012;Q3;Finance, Insurance, Real Estate & Business Services;56852.86
Quarterly;2012-09;2012;Q3;Finance, Insurance, Real Estate & Business Services : Real Estate;30718.94
Quarterly;2012-09;2012;Q3;Gross Value Added;681110.91
Quarterly;2012-12;2012;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;313795.72
Quarterly;2012-12;2012;Q4;Wholesale & Retail Trade, Restaurants & hotels;57229.24
Quarterly;2012-12;2012;Q4;Transport, Storage & Communication;31716.24
Quarterly;2012-12;2012;Q4;Community, Social & Personal Services;11632.02
Quarterly;2012-12;2012;Q4;Net Taxes on Products;6663.0
Quarterly;2013-03;2013;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;303948.34
Quarterly;2013-03;2013;Q1;Manufacturing : Petroleum Refining;14845.08
Quarterly;2013-03;2013;Q1;Finance, Insurance, Real Estate & Business Services;69665.64
Quarterly;2013-03;2013;Q1;Community, Social & Personal Services;13082.16
Quarterly;2013-06;2013;Q2;Manufacturing;67628.91
Quarterly;2013-06;2013;Q2;Construction;33562.7
Quarterly;2013-06;2013;Q2;Community, Social & Personal Services;13050.53
Quarterly;2013-09;2013;Q3;Wholesale & Retail Trade, Restaurants & hotels;57918.64
Quarterly;2013-09;2013;Q3;Community, Social & Personal Services;12996.16
Quarterly;2013-12;2013;Q4;Agriculture, Forestry & Fishing;12354.53
Quarterly;2013-12;2013;Q4;Manufacturing : Manufacturing excluding petroleum refining;53667.55
Quarterly;2013-12;2013;Q4;Transport, Storage & Communication;34313.08
Quarterly;2013-12;2013;Q4;Government Services;93881.28
Quarterly;2013-12;2013;Q4;Gross Domestic Product;708679.54
Quarterly;2014-03;2014;Q1;Mining & Quarrying;313188.18
Quarterly;2014-03;2014;Q1;Manufacturing;79959.81
Quarterly;2014-03;2014;Q1;Manufacturing : Manufacturing excluding petroleum refining;63156.78
Quarterly;2014-03;2014;Q1;Construction;38721.63
Quarterly;2014-03;2014;Q1;Transport, Storage & Communication;37661.02
Quarterly;2014-03;2014;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;44518.41
Quarterly;2014-03;2014;Q1;Government Services;96241.07
Quarterly;2014-06;2014;Q2;Finance, Insurance, Real Estate & Business Services;71214.85
Quarterly;2014-09;2014;Q3;Mining & Quarrying;288171.29
Quarterly;2014-09;2014;Q3;Construction;38621.81
Quarterly;2014-09;2014;Q3;Finance, Insurance, Real Estate & Business Services : Real Estate;41883.01
